,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,Ethylene,flow,SE_ESC_transforms,ethylene_SE,SE_ESC,SE_ESC_ethylene_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
1,Ethylene,flow,SE_Ethanol_Dehydration_H2fuel_transforms,ethylene_SE,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_ethylene_production_edge,EthanolDehydration,flow,504,0.0,,SE,0.0
2,Ethylene,flow,SE_Ethanol_Dehydration_NGfuel_transforms,ethylene_SE,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_ethylene_production_edge,EthanolDehydration,flow,504,0.0,,SE,0.0
3,Ethylene,flow,SE_TSC_CCS_90_H2prod_transforms,ethylene_SE,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_ethylene_production_edge,SteamCracker,flow,504,2.6219807765740845e-12,,SE,2.6219807765740845e-12
4,Ethylene,flow,SE_TSC_CCS_90_transforms,ethylene_SE,SE_TSC_CCS_90,SE_TSC_CCS_90_ethylene_production_edge,SteamCracker,flow,504,1.1548115333345859e-10,,SE,1.1548115333345859e-10
5,Ethylene,flow,SE_TSC_Non_CCS_H2fuel_transforms,ethylene_SE,SE_TSC_Non_CCS_H2fuel,SE_TSC_Non_CCS_H2fuel_ethylene_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
6,Ethylene,flow,SE_TSC_Non_CCS_H2prod_transforms,ethylene_SE,SE_TSC_Non_CCS_H2prod,SE_TSC_Non_CCS_H2prod_ethylene_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
7,Ethylene,flow,SE_TSC_Non_CCS_transforms,ethylene_SE,SE_TSC_Non_CCS,SE_TSC_Non_CCS_ethylene_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
8,Ethylene,flow,Synthetic_Ethylene_CCS_90_transforms,ethylene_SE,Synthetic_Ethylene_CCS_90,Synthetic_Ethylene_CCS_90_ethylene_production_edge,SyntheticEthylene,flow,504,5714285.532,,SE,5714285.532
9,Ethylene,flow,Synthetic_Ethylene_Non_CCS_transforms,ethylene_SE,Synthetic_Ethylene_Non_CCS,Synthetic_Ethylene_Non_CCS_ethylene_production_edge,SyntheticEthylene,flow,504,2.6219807765740845e-12,,SE,2.6219807765740845e-12
10,Ethylene,flow,ethylene_SE,SE_Ethylene_End_Use_transforms,SE_Ethylene_End_Use,SE_Ethylene_End_Use_fuel_edge,FuelsEndUse{Ethylene},flow,504,5714285.532,,SE,-5714285.532
