commodity,commodity_subtype,zone,resource_id,component_id,type,capacity,new_capacity,retired_capacity,retrofitted_capacity
Ethane,capacity,ethane_CA,CA_ESC,CA_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SW,SW_ESC,SW_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NW,NW_ESC,NW_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_TX,TX_ESC,TX_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NCEN,NCEN_ESC,NCEN_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CEN,CEN_ESC,CEN_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SE,SE_ESC,SE_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_MIDAT,MIDAT_ESC,MIDAT_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NE,NE_ESC,NE_ESC_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CA,CA_TSC+CC90,CA_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CA,CA_TSC:H2,CA_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CA,CA_TSC+CC90:H2,CA_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CA,CA_TSC+H2in,CA_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CA,CA_TSC+H2in:CH4,CA_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,1367.4455380878264,1367.4455380878264,0.0,0.0
Ethane,capacity,ethane_SW,SW_TSC+CC90,SW_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SW,SW_TSC:H2,SW_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SW,SW_TSC+CC90:H2,SW_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SW,SW_TSC+H2in,SW_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SW,SW_TSC+H2in:CH4,SW_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NW,NW_TSC+CC90,NW_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NW,NW_TSC:H2,NW_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NW,NW_TSC+CC90:H2,NW_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NW,NW_TSC+H2in,NW_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NW,NW_TSC+H2in:CH4,NW_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,914.9053085655144,914.9053085655144,0.0,0.0
Ethane,capacity,ethane_TX,TX_TSC+CC90,TX_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_TX,TX_TSC:H2,TX_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_TX,TX_TSC+CC90:H2,TX_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_TX,TX_TSC+H2in,TX_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_TX,TX_TSC+H2in:CH4,TX_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,16592.49333612278,16592.49333612278,0.0,0.0
Ethane,capacity,ethane_NCEN,NCEN_TSC+CC90,NCEN_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NCEN,NCEN_TSC:H2,NCEN_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NCEN,NCEN_TSC+CC90:H2,NCEN_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NCEN,NCEN_TSC+H2in,NCEN_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_NCEN,NCEN_TSC+H2in:CH4,NCEN_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CEN,CEN_TSC+CC90,CEN_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CEN,CEN_TSC:H2,CEN_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CEN,CEN_TSC+CC90:H2,CEN_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CEN,CEN_TSC+H2in,CEN_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_CEN,CEN_TSC+H2in:CH4,CEN_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SE,SE_TSC+CC90,SE_TSC+CC90_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SE,SE_TSC:H2,SE_TSC:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SE,SE_TSC+CC90:H2,SE_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SE,SE_TSC+H2in,SE_TSC+H2in_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
Ethane,capacity,ethane_SE,SE_TSC+H2in:CH4,SE_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,0.0,0.0,0.0,0.0
