commodity,commodity_subtype,zone,resource_id,component_id,type,capacity,new_capacity,retired_capacity,retrofitted_capacity
Biomass_Agri,capacity,bioagri_CA,CA_Bio_Electricity_CCS_93_Agri,CA_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NW,NW_Bio_Electricity_CCS_93_Agri,NW_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SW,SW_Bio_Electricity_CCS_93_Agri,SW_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_TX,TX_Bio_Electricity_CCS_93_Agri,TX_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NCEN,NCEN_Bio_Electricity_CCS_93_Agri,NCEN_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_CEN,CEN_Bio_Electricity_CCS_93_Agri,CEN_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SE,SE_Bio_Electricity_CCS_93_Agri,SE_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_MIDAT,MIDAT_Bio_Electricity_CCS_93_Agri,MIDAT_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NE,NE_Bio_Electricity_CCS_93_Agri,NE_Bio_Electricity_CCS_93_Agri_biomass_edge,BECCSElectricity,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_CA,CA_Bio_H2_Agri,CA_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NW,NW_Bio_H2_Agri,NW_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SW,SW_Bio_H2_Agri,SW_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_TX,TX_Bio_H2_Agri,TX_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NCEN,NCEN_Bio_H2_Agri,NCEN_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_CEN,CEN_Bio_H2_Agri,CEN_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SE,SE_Bio_H2_Agri,SE_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_MIDAT,MIDAT_Bio_H2_Agri,MIDAT_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NE,NE_Bio_H2_Agri,NE_Bio_H2_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_CA,CA_Bio_H2_CCS_99_Agri,CA_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NW,NW_Bio_H2_CCS_99_Agri,NW_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SW,SW_Bio_H2_CCS_99_Agri,SW_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_TX,TX_Bio_H2_CCS_99_Agri,TX_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NCEN,NCEN_Bio_H2_CCS_99_Agri,NCEN_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_CEN,CEN_Bio_H2_CCS_99_Agri,CEN_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SE,SE_Bio_H2_CCS_99_Agri,SE_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_MIDAT,MIDAT_Bio_H2_CCS_99_Agri,MIDAT_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NE,NE_Bio_H2_CCS_99_Agri,NE_Bio_H2_CCS_99_Agri_biomass_edge,BECCSHydrogen,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_CA,CA_Gasoline_Gasification_Non_CCS_Agri,CA_Gasoline_Gasification_Non_CCS_Agri_biomass_edge,BECCSLiquidFuels,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_NW,NW_Gasoline_Gasification_Non_CCS_Agri,NW_Gasoline_Gasification_Non_CCS_Agri_biomass_edge,BECCSLiquidFuels,0.0,0.0,0.0,0.0
Biomass_Agri,capacity,bioagri_SW,SW_Gasoline_Gasification_Non_CCS_Agri,SW_Gasoline_Gasification_Non_CCS_Agri_biomass_edge,BECCSLiquidFuels,0.0,0.0,0.0,0.0
