2026-05-05 15:01:55 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/Chaitanya_Ethylene_168hr
2026-05-05 15:01:55 | INFO | 1 | MacroEnergy | user_additions.jl:78 |  ++ Loading user additions from MacroEnergyExamples/Chaitanya_Ethylene_168hr/user_additions
2026-05-05 15:01:55 | INFO | 1 | MacroEnergy | user_additions.jl:114 |  ++ Successfully loaded user additions.
2026-05-05 15:01:55 | INFO | 1 | MacroEnergy | user_additions.jl:122 |  ++ Added user assets: 0
2026-05-05 15:01:55 | INFO | 1 | MacroEnergy | load_stages_data.jl:37 | Loading case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/Chaitanya_Ethylene_168hr/system_data.json
2026-05-05 15:01:55 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 0.43 seconds
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | load_stages_data.jl:20 | Done loading case data. It took 0.43 seconds
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | case_settings.jl:111 | Configuring case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/Chaitanya_Ethylene_168hr/settings/case_settings.json
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | case_settings.jl:129 | Configuring case
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | case_settings.jl:154 |  -- Setting solution algorithm
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | case_settings.jl:165 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-05-05 15:01:56 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-05-05 15:01:57 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-05-05 15:01:58 | INFO | 1 | MacroEnergy | load_commodities.jl:299 |  ++ Added user commodities: 0 top-level, 0 subcommodities
