commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,12921.254093081207
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,10448.0
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},capacity,298.50969400000014
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_transmission_edge,TransmissionLink{Electricity},capacity,5900.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_transmission_edge,TransmissionLink{Electricity},capacity,2000.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,capacity,0.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,capacity,0.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,capacity,0.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,capacity,0.0
Electricity,capacity,MA_battery_storage,MA_battery,MA_battery_storage,Battery,capacity,0.0
Electricity,capacity,CT_battery_storage,CT_battery,CT_battery_storage,Battery,capacity,0.0
Electricity,capacity,ME_battery_storage,ME_battery,ME_battery_storage,Battery,capacity,0.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,new_capacity,0.0
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,new_capacity,0.0
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,new_capacity,0.0
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,12921.254093081207
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,10448.0
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},new_capacity,298.50969400000014
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_transmission_edge,TransmissionLink{Electricity},new_capacity,2950.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_transmission_edge,TransmissionLink{Electricity},new_capacity,0.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,new_capacity,0.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,new_capacity,0.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,new_capacity,0.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,new_capacity,0.0
Electricity,capacity,MA_battery_storage,MA_battery,MA_battery_storage,Battery,new_capacity,0.0
Electricity,capacity,CT_battery_storage,CT_battery,CT_battery_storage,Battery,new_capacity,0.0
Electricity,capacity,ME_battery_storage,ME_battery,ME_battery_storage,Battery,new_capacity,0.0
Electricity,capacity,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,retired_capacity,0.0
Electricity,capacity,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,retired_capacity,0.0
Electricity,capacity,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,retired_capacity,0.0
Electricity,capacity,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,0.0
Electricity,capacity,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,0.0
Electricity,capacity,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},retired_capacity,0.0
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_transmission_edge,TransmissionLink{Electricity},retired_capacity,0.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_transmission_edge,TransmissionLink{Electricity},retired_capacity,0.0
Electricity,capacity,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,retired_capacity,0.0
Electricity,capacity,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,retired_capacity,0.0
Electricity,capacity,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,retired_capacity,0.0
Electricity,capacity,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,retired_capacity,0.0
Electricity,capacity,MA_battery_storage,MA_battery,MA_battery_storage,Battery,retired_capacity,0.0
Electricity,capacity,CT_battery_storage,CT_battery,CT_battery_storage,Battery,retired_capacity,0.0
Electricity,capacity,ME_battery_storage,ME_battery,ME_battery_storage,Battery,retired_capacity,0.0
